"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","WDF2","WDF5","WSF2","WSF5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-07","11.63"," 1428"," 0547","0.00","0.0","  280","  280","19.9","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-08","8.05"," 2257"," 2325","1.20","0.0","  280","  270","25.9","36.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-09","20.80"," 0849"," 0244","0.00","0.0","  270","  270","32.0","44.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-10","14.54"," 1555"," 1547","0.00","0.0","  350","  330","23.0","30.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-11","10.29"," 1826"," 1811","0.00","0.0","  180","  170","17.9","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-12","6.93"," 0724"," 0723","0.00","0.0","  210","  200","17.9","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-13","8.28"," 1514"," 1350","0.00","0.0","  280","  270","17.0","23.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-14","7.61"," 2137"," 2138","0.47","0.0","  250","  210","17.0","36.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-15","12.75"," 1031"," 1030","0.00","0.0","  320","  320","28.0","36.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-16","11.18"," 1619"," 1434","0.00","0.0","  320","  280","21.9","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-17","10.51"," 1308"," 1307","0.00","0.0","  110","  120","17.9","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-18","8.05"," 2328"," 2316","0.88","0.0","   60","   50","21.9","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-19","15.88"," 0327"," 0412","0.20","0.0","   50","   50","30.0","38.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-20","7.83"," 1413"," 1412","0.00","0.0","  260","  250","19.9","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-21","8.95"," 1056"," 0906","0.00","0.0","   70","   50","17.9","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-22","8.05"," 1839"," 1928","0.00","0.0","  170","  160","15.0","19.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-23","5.82"," 1758"," 1735","0.00","0.0","   70","   50","12.1","15.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-24","7.83"," 1337"," 1932","0.00","0.0","  130","  220","16.1","19.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-25","8.50"," 1642"," 1756","0.00","0.0","  190","  220","17.9","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-26","11.18"," 2102"," 2100","0.06","0.0","   50","   60","25.1","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-27","10.51"," 1844"," 1844","0.05","0.0","  100","  110","21.0","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-28","9.62"," 1248"," 1403","0.00","0.0","  100","  130","17.0","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-29","10.51"," 1522"," 1521","0.00","0.0","  280","  290","23.0","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-30","11.41"," 1452"," 1515","0.00","0.0","  300","  310","25.1","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-05-31","11.63"," 1609"," 1446","0.00","0.0","  100","  120","21.0","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-01","11.41"," 1400"," 1416","0.43","0.0","  270","  280","23.0","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-02","8.50"," 1708"," 1639","0.00","0.0","  110","  110","17.0","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-03","10.51"," 1546"," 1721","0.70","0.0","  220","  290","21.9","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-04","8.28"," 1621"," 1552","0.00","0.0","  110","  100","17.0","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-05","11.18"," 1649"," 1648","0.71","0.0","  250","  250","19.9","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-06","10.96"," 1509"," 1508","0.71","0.0","  260","  250","47.0","68.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-07","12.08"," 1608"," 0322","0.00","0.0","  330","  300","21.0","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-08","12.08"," 1316"," 1316","0.00","0.0","  320","  320","23.0","30.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-09","9.62"," 1603"," 1545","0.04","0.0","  230","  260","23.9","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-10","7.83"," 0125"," 0122","0.10","0.0","  150","  160","17.9","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-11","7.38"," 2128"," 2127","0.00","0.0","  220","  220","15.0","17.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-12","6.71"," 0427"," 1942","0.18","0.0","  240","  190","14.1","16.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-13","7.16"," 1414"," 1501","0.02","0.0","   40","   30","15.0","17.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-14","5.82"," 1843"," 2059","0.00","0.0","   10","   10","15.0","17.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-15","7.61"," 0626"," 0541","0.00","0.0","  320","  340","15.0","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-16","7.61"," 1612"," 1615","0.02","0.0","  230","  260","23.0","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-17","10.29"," 0809"," 1223","0.00","0.0","  310","  310","21.0","25.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-18","8.72"," 2301"," 1349","0.00","0.0","  250","  280","16.1","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-19","13.65"," 1317"," 1348","0.00","0.0","  180","  210","23.0","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-20","9.62"," 1621"," 1418","0.16","0.0","  270","  220","25.9","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-21","6.26"," 1530"," 1029","0.00","0.0","  110","  220","13.0","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-22","6.49"," 1608"," 1623","0.00","0.0","  100","  100","15.0","17.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-23","10.07"," 0943"," 0927","0.06","0.0","  280","  290","21.9","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-24","12.53"," 1624"," 1622","0.05","0.0","  280","  280","36.0","46.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-25","10.51"," 0042"," 0549","0.00","0.0","  320","  330","17.9","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-06-26","9.62"," 1447"," 1750","0.00","0.0","  280","  280","19.9","23.9"
